User ID,Timestamp,Login Status,IP Address,Device Type,Location,Session Duration,Failed Attempts,Behavioral Score,Anomaly
689,2023-08-24 13:25:34.618259,Success,192.168.1.14,Desktop,Canada,7.439980690281039,0,88.55064692438117,0
481,2023-08-24 13:26:34.618259,Success,192.168.1.25,Mobile,Germany,400.5233237461515,0,92.29530574828146,0
908,2023-08-24 13:27:34.618259,Success,192.168.1.54,Tablet,Canada,298.01927898908735,0,81.04429356057102,0
110,2023-08-24 13:28:34.618259,Success,192.168.1.27,Mobile,USA,0.02055968689890306,0,97.92674031125281,1
290,2023-08-24 13:29:34.618259,Success,192.168.1.27,Mobile,Germany,409.52833096883904,0,71.3931902726231,0
991,2023-08-24 13:30:34.618259,Success,192.168.1.27,Mobile,Japan,435.29859606463174,0,113.17490603063396,0
133,2023-08-24 13:31:34.618259,Success,192.168.1.36,Tablet,Japan,90.54291858335627,0,77.336576389646,0
71,2023-08-24 13:32:34.618259,Success,192.168.1.95,Desktop,Germany,334.64478043416716,0,66.04987276116722,0
230,2023-08-24 13:33:34.618259,Success,192.168.1.54,Desktop,USA,43.52803280545284,0,87.09159478826875,0
71,2023-08-24 13:34:34.618259,Success,192.168.1.95,Tablet,Germany,358.23826642079683,0,79.70362851029196,0
279,2023-08-24 13:35:34.618259,Success,192.168.1.14,Mobile,Canada,52.576470052372606,0,97.25756980596074,0
750,2023-08-24 13:36:34.618259,Success,192.168.1.54,Desktop,Germany,271.3236662083111,0,71.26048273163504,0
134,2023-08-24 13:37:34.618259,Success,192.168.1.27,Desktop,Canada,195.40957147313134,0,64.5721340778673,0
259,2023-08-24 13:38:34.618259,Success,192.168.1.14,Tablet,USA,155.38629656179407,0,71.40102889722857,0
96,2023-08-24 13:39:34.618259,Fail,192.168.1.95,Desktop,USA,0.0,2,49.26079896736919,1
251,2023-08-24 13:40:34.618259,Success,192.168.1.54,Desktop,Canada,186.80352529234756,0,74.5855063387571,0
72,2023-08-24 13:41:34.618259,Success,192.168.1.14,Desktop,Germany,333.0296171183363,0,69.4270605459078,0
368,2023-08-24 13:42:34.618259,Success,192.168.1.95,Tablet,USA,557.2783092822845,0,85.96814216859623,0
453,2023-08-24 13:43:34.618259,Success,192.168.1.95,Desktop,Japan,372.3779054161342,0,70.33445824138681,0
975,2023-08-24 13:44:34.618259,Success,192.168.1.54,Desktop,Canada,561.3531452568235,0,80.04152668762545,0
164,2023-08-24 13:45:34.618259,Success,192.168.1.14,Desktop,Canada,113.54135934427083,0,73.60066135267536,0
861,2023-08-24 13:46:34.618259,Success,192.168.1.95,Tablet,Canada,521.5514560539877,0,68.03614222062033,0
604,2023-08-24 13:47:34.618259,Success,192.168.1.54,Tablet,Japan,92.3675997583722,0,78.79207721971173,0
155,2023-08-24 13:48:34.618259,Success,192.168.1.16,Desktop,Canada,38.422577834651754,0,59.58804487928836,0
219,2023-08-24 13:49:34.618259,Success,192.168.1.14,Mobile,Canada,1608.451210690932,0,77.20186857567917,1
135,2023-08-24 13:50:34.618259,Success,192.168.1.54,Desktop,Japan,246.24029971753134,0,103.62428798831874,0
405,2023-08-24 13:51:34.618259,Success,192.168.1.65,Desktop,USA,392.36422469276675,0,85.88541140967911,0
812,2023-08-24 13:52:34.618259,Success,192.168.1.14,Desktop,Canada,418.6865894624034,0,71.7264119959245,0
800,2023-08-24 13:53:34.618259,Success,192.168.1.14,Desktop,Canada,8.924783993960922,0,87.4056015488531,0
562,2023-08-24 13:54:34.618259,Success,192.168.1.14,Mobile,Canada,150.44236746935766,0,72.78453911283104,0
342,2023-08-24 13:55:34.618259,Success,192.168.1.20,Desktop,USA,130.53392304923548,0,68.5507107281278,0
107,2023-08-24 13:56:34.618259,Success,192.168.1.20,Desktop,Germany,279.62434701900446,0,74.90804365600803,0
938,2023-08-24 13:57:34.618259,Success,192.168.1.25,Tablet,Germany,175.23767606409172,0,81.54919967070536,0
321,2023-08-24 13:58:34.618259,Success,192.168.1.95,Tablet,USA,46.44634718101785,0,95.98308715642105,0
508,2023-08-24 13:59:34.618259,Success,192.168.1.65,Desktop,Canada,19.25565181042251,0,83.27208232168657,0
519,2023-08-24 14:00:34.618259,Success,192.168.1.14,Tablet,USA,288.27850735378587,0,88.0684402585087,0
148,2023-08-24 14:01:34.618259,Success,192.168.1.95,Mobile,USA,85.33032044034161,0,68.01281548749094,0
643,2023-08-24 14:02:34.618259,Success,192.168.1.27,Tablet,Canada,311.243874043338,0,78.71934482496455,0
80,2023-08-24 14:03:34.618259,Success,192.168.1.25,Tablet,USA,263.3543135324322,0,72.71275386036334,0
415,2023-08-24 14:04:34.618259,Fail,192.168.1.14,Mobile,Japan,0.0,2,54.326994838239656,1
106,2023-08-24 14:05:34.618259,Success,192.168.1.95,Desktop,Japan,210.3591880170024,0,77.26009809038011,0
420,2023-08-24 14:06:34.618259,Success,192.168.1.20,Mobile,USA,352.8777361119219,0,93.31222039419943,0
500,2023-08-24 14:07:34.618259,Success,192.168.1.14,Desktop,Canada,73.92812558458373,0,85.72489168225934,0
27,2023-08-24 14:08:34.618259,Success,192.168.1.16,Desktop,Germany,76.1156411401595,0,72.69208201129183,0
573,2023-08-24 14:09:34.618259,Success,192.168.1.16,Desktop,Canada,806.5048486229645,0,85.09071916539443,0
372,2023-08-24 14:10:34.618259,Fail,192.168.1.16,Tablet,USA,0.0,1,42.05378089954916,1
835,2023-08-24 14:11:34.618259,Success,192.168.1.65,Tablet,USA,124.4764112270616,0,79.46782997322285,0
973,2023-08-24 14:12:34.618259,Success,192.168.1.14,Tablet,Germany,30.654514666655707,0,78.85621923628325,0
993,2023-08-24 14:13:34.618259,Success,192.168.1.14,Mobile,Germany,26.434173662574427,0,84.0485373267079,0
836,2023-08-24 14:14:34.618259,Fail,192.168.1.36,Mobile,Antarctica,0.0,3,48.22383039997111,1
131,2023-08-24 14:15:34.618259,Fail,192.168.1.20,Tablet,Canada,0.0,1,50.282737006513806,1
779,2023-08-24 14:16:34.618259,Success,192.168.1.36,Desktop,Japan,194.53183495707688,0,84.43905936655077,0
623,2023-08-24 14:17:34.618259,Success,192.168.1.95,Desktop,Germany,286.53125299786836,0,83.62630380543573,0
948,2023-08-24 14:18:34.618259,Success,192.168.1.36,Desktop,Germany,484.18299140673423,0,73.52215828517211,0
1,2023-08-24 14:19:34.618259,Success,192.168.1.20,Mobile,Japan,32.62418909458825,0,92.32380855115558,0
94,2023-08-24 14:20:34.618259,Fail,192.168.1.14,Tablet,Germany,0.0,1,46.089948150014926,1
222,2023-08-24 14:21:34.618259,Success,192.168.1.14,Desktop,Canada,77.66649267276225,0,70.61592778835487,0
607,2023-08-24 14:22:34.618259,Success,192.168.1.65,Tablet,Canada,21.782395591040434,0,75.85505075705412,0
1,2023-08-24 14:23:34.618259,Success,192.168.1.14,Mobile,Japan,293.6301811834808,0,75.44531912987364,0
140,2023-08-24 14:24:34.618259,Success,192.168.1.95,Tablet,Germany,428.3742496177574,0,68.78964360632816,0
927,2023-08-24 14:25:34.618259,Success,192.168.1.20,Desktop,Germany,215.43068242768183,0,69.82778366669606,0
667,2023-08-24 14:26:34.618259,Success,192.168.1.25,Mobile,Japan,383.55022970640147,0,79.74964589737134,0
584,2023-08-24 14:27:34.618259,Success,192.168.1.25,Tablet,Germany,542.5346564833719,0,88.87128429094909,0
52,2023-08-24 14:28:34.618259,Success,192.168.1.27,Desktop,USA,119.17819341879552,0,82.80432185777033,0
157,2023-08-24 14:29:34.618259,Success,192.168.1.27,Tablet,USA,498.32152645202325,0,71.06399922214817,0
153,2023-08-24 14:30:34.618259,Success,192.168.1.25,Tablet,Canada,191.18997401065175,0,73.55063585114927,0
92,2023-08-24 14:31:34.618259,Success,192.168.1.95,Desktop,Japan,682.6835897954337,0,90.03434472839682,0
175,2023-08-24 14:32:34.618259,Success,192.168.1.16,Mobile,USA,583.616195033439,0,69.35753393761834,0
63,2023-08-24 14:33:34.618259,Success,192.168.1.36,Tablet,USA,1588.8662451180714,0,92.82586240552662,1
910,2023-08-24 14:34:34.618259,Success,192.168.1.20,Tablet,Canada,105.0068255458342,0,92.87517101246064,0
